economy,current_account_gdp,fdi_net_inflows_gdp,external_debt_gni,total_reserves,inflation,gdp_growth,year
ARG,-2.96292666513533,1.97713461784426,30.3597130322943,25520565580.4894,,2.73115982828944,2015
ARG,-2.70922168361454,0.584748941173009,33.3125611167404,38414518491.6132,,-2.08032784377811,2016
ARG,-4.8399592180739,1.78936504083806,36.0210140421607,55314409205.2189,,2.81850297775918,2017
ARG,-5.16055257152294,2.23253157689253,54.8960712180333,66221501691.4418,34.2772237131003,-2.61739646282038,2018
ARG,-0.779998447561847,1.48500687570697,65.2499452681964,44880566052.3703,53.5483043492339,-2.00086100285785,2019
ARG,0.696935361136029,1.26616924308721,68.0983401439473,39403734630.1228,42.0150947376509,-9.9004848136464,2020
ARG,1.36154422203441,1.36838083162438,51.6176877458835,39653498610.7828,48.4093786255199,10.4418119882506,2021
ARG,-0.62525456692328,2.3984601182853,40.0821942544545,44795335171.5152,72.430757531824,6.02074537534855,2022
ARG,-3.1951463789585,3.81190879856952,39.9528949452964,23080560550.2946,133.488935594175,-1.85578803046339,2023
AUS,-4.2950643949091,3.456117831131,,45406035070.596,1.50836672165921,2.16434780647852,2015
AUS,-3.60213104879026,3.54660341826144,,52480791522.7773,1.27699094497324,2.75564065529868,2016
AUS,-2.98964043581753,3.62158795648508,,65653718118.1818,1.94864740944527,2.29331030192918,2017
AUS,-2.55162485886958,4.23450805251819,,53909533420.3007,1.91140094445691,2.87417039499501,2018
AUS,-0.0206271927491188,2.77077560426989,,57994685703.4779,1.61076787290379,2.19401703622717,2019
AUS,1.86741781543883,1.34826011276187,,42544629264.9892,0.846905537459305,-0.133531904304775,2020
AUS,2.62544820701792,2.01542405903096,,57877502314.3513,2.86391042204994,2.00694844335034,2021
AUS,0.374773982764545,4.05215286724898,,56701901829.6459,6.59409671341846,4.25304559238732,2022
AUS,-0.234060559907305,2.03614704389564,,61703347652.0138,5.5970149253731,3.58382100798981,2023
BGD,1.32188871858147,1.4507824552936,18.656464728563,27493077971.9949,6.19428022984984,6.55263987816197,2015
BGD,0.351171861174517,0.879528340271998,14.9717904789002,32283838538.9037,5.51352572692995,7.11347821270093,2016
BGD,-2.03756600416726,0.616341784631384,16.8057450414319,33431482893.1712,5.70207015717239,6.59024999794057,2017
BGD,-2.20783912081882,0.75354913412869,17.0924802738604,32028383716.595,5.54362139486476,7.31941263014136,2018
BGD,-0.839485005371134,0.543244141585063,17.0856511809436,32696936140.2925,5.59199639930629,7.88191515117722,2019
BGD,0.31894044196432,0.407859894856915,18.8853836099419,43171735335.8001,5.69107474746211,3.44801755122445,2020
